unit_price,customer_phone,category,order_id,product_name,source_file,unit_cost,order_date,profit,discount_pct,quantity,total_price
99.43,Karen Suzuki,Technology,ORD-11121,Wireless Bluetooth Headphones,global_ecommerce_sales.csv,9.31,2023-01-02,124.92,0,3,298.29
97.93,John Johansson,Technology,ORD-11244,Mechanical Gaming Keyboard,global_ecommerce_sales.csv,14.31,2023-01-02,83.62,20,4,313.38
10.74,Jessica Garcia,Office Supplies,ORD-10325,Binder Clips Assorted 48pc,global_ecommerce_sales.csv,8.12,2023-01-03,3.69,0,2,21.48
61.86,Clara Taylor,Technology,ORD-10467,Webcam HD 1080p,global_ecommerce_sales.csv,10.79,2023-01-03,26.32,15,2,105.16
330.67,Felix Thomas,Furniture,ORD-11454,Standing Desk Converter,global_ecommerce_sales.csv,11.09,2023-01-05,253.44,20,4,1058.14
61.93,Fatima Suzuki,Furniture,ORD-11746,Bookshelf 5-Tier,global_ecommerce_sales.csv,5.88,2023-01-05,12.7,10,1,55.74
15.03,Felix Rodriguez,Office Supplies,ORD-11162,Premium Notebook Set A5,global_ecommerce_sales.csv,6.59,2023-01-06,8.44,5,2,28.56
33.91,Ayumi Ferrari,Technology,ORD-11271,Laptop Stand Adjustable,global_ecommerce_sales.csv,14.38,2023-01-06,9.36,10,2,61.04
334.11,Thomas Smith,Furniture,ORD-11702,Standing Desk Converter,global_ecommerce_sales.csv,11.92,2023-01-06,221.96,5,2,634.81
58.77,Ali Rodriguez,Furniture,ORD-10847,Folding Table Portable,global_ecommerce_sales.csv,12.03,2023-01-07,8.54,5,1,55.83
38.91,Raj Martinez,Clothing & Accessories,ORD-10446,Leather Wallet Minimalist,global_ecommerce_sales.csv,14.25,2023-01-08,12.99,15,2,66.15
7.8,Kenji Rossi,Office Supplies,ORD-11499,Paper Clips Box 500pc,global_ecommerce_sales.csv,12.61,2023-01-08,-2.08,10,3,21.06
48.73,Mary Khan,Technology,ORD-10271,Webcam HD 1080p,global_ecommerce_sales.csv,8.11,2023-01-09,8.95,10,1,43.86
59.48,Maria Tanaka,Clothing & Accessories,ORD-11356,Travel Backpack 30L,global_ecommerce_sales.csv,11.42,2023-01-12,18.32,0,1,59.48
15.82,Zara Brown,Office Supplies,ORD-10793,Tape Dispenser Heavy Duty,global_ecommerce_sales.csv,9.16,2023-01-13,-0.46,0,1,15.82
51.92,Marco Moreau,Clothing & Accessories,ORD-11330,Business Casual Blazer,global_ecommerce_sales.csv,13.39,2023-01-13,17.76,30,3,109.03
358.6,Christopher Johansson,Furniture,ORD-11886,Corner L-Shaped Desk,global_ecommerce_sales.csv,14.74,2023-01-13,254.21,15,3,914.43
446.8,Susan Davis,Furniture,ORD-10339,Ergonomic Office Chair,global_ecommerce_sales.csv,13.59,2023-01-14,299.17,5,2,848.92
